order_id,date,customer_id,product_name,category,price,quantity,discount_applied,payment_method,shipping_cost
1521,2023-01-01,C481,Laptop Stand,Electronics,182.16,4,0.0,Gift Card,5.00
1558,2023-01-01,C486,Bookshelf,Home,233.44,3,0.0,Credit Card,0.00
1179,2023-01-01,C877,Sweater,Apparel,124.94,5,0.0,Gift Card,0.00
2082,2023-01-01,C746,Bookshelf,Home,153.01,2,0.1,PayPal,0.00
3027,2023-01-01,C999,Throw Pillow,Home,203.26,5,0.1,Credit Card,5.00
1162,2023-01-02,C541,Olive Oil,Groceries,19.40,4,0.0,Debit Card,14.69
2456,2023-01-02,C296,Gym Bag,Fitness,138.46,3,0.0,Debit Card,5.00
1420,2023-01-02,C383,Sneakers,Apparel,103.96,3,0.0,Credit Card,10.00
1302,2023-01-02,C282,Sweater,Apparel,40.60,5,0.15,Debit Card,0.00
1978,2023-01-02,C274,Desk Lamp,Home,184.29,4,0.0,Debit Card,0.00
2146,2023-01-02,C547,Bluetooth Speaker,Electronics,85.53,5,0.0,Gift Card,0.00
1609,2023-01-03,C563,Shorts,Apparel,28.10,1,0.0,Credit Card,11.93
2993,2023-01-03,C416,Dumbbell Set,Fitness,89.76,2,0.0,Credit Card,0.00
1230,2023-01-04,C561,Shorts,Apparel,143.87,2,0.0,Credit Card,0.00
2682,2023-01-04,C398,Throw Pillow,Home,266.51,3,0.05,Credit Card,0.00
1682,2023-01-04,C461,Honey,Groceries,25.34,3,0.1,Credit Card,4.50
1031,2023-01-04,C168,Wireless Mouse,Electronics,228.76,1,0.0,Gift Card,0.00
2614,2023-01-04,C994,Webcam,Electronics,152.90,4,0.15,PayPal,5.00
2673,2023-01-04,C536,Resistance Bands,Fitness,176.20,5,0.0,Debit Card,0.00
3401,2023-01-05,C744,External Hard Drive,Electronics,428.13,3,,Debit Card,10.00
2297,2023-01-05,C892,Protein Powder,Fitness,168.79,1,0.0,Credit Card,0.00
1366,2023-01-05,C372,Treadmill,Fitness,140.10,5,,Gift Card,0.00
1431,2023-01-05,C341,Gaming Monitor,Electronics,372.29,5,0.0,Gift Card,0.00
2264,2023-01-05,C298,Laptop Stand,Electronics,44.56,3,0.0,Debit Card,0.00
1390,2023-01-05,C628,Yoga Mat,Fitness,46.07,4,0.0,PayPal,0.00
1149,2023-01-06,C279,Running Shoes,Apparel,17.86,5,0.05,Credit Card,6.98
1844,2023-01-06,C885,Smart Watch,Electronics,497.19,2,0.0,Gift Card,5.00
1796,2023-01-07,C390,Wireless Mouse,Electronics,303.45,3,0.05,PayPal,10.00
1920,2023-01-07,C103,Olive Oil,Groceries,20.13,5,,Debit Card,5.00
1290,2023-01-08,C557,Protein Powder,Fitness,29.05,5,0.0,Credit Card,0.00
2356,2023-01-08,C450,Laptop Stand,Electronics,362.37,5,0.0,Credit Card,10.00
2113,2023-01-08,C756,Office Chair,Home,183.90,1,0.0,PayPal,0.00
1906,2023-01-08,C552,Coffee Maker,Home,282.85,5,0.0,PayPal,0.00
2467,2023-01-08,C731,Mechanical Keyboard,Electronics,54.68,5,0.0,Gift Card,0.00
2191,2023-01-08,C681,Wireless Mouse,Electronics,383.05,2,0.0,PayPal,0.00
2472,2023-01-09,C721,Mechanical Keyboard,Electronics,354.69,5,0.05,Debit Card,5.00
1859,2023-01-09,C323,Desk Lamp,Home,265.56,5,0.1,PayPal,0.00
3053,2023-01-09,C650,Smart Watch,Electronics,494.52,2,0.05,Credit Card,5.00
3019,2023-01-09,C847,Protein Powder,Fitness,47.80,2,0.0,Debit Card,3.11
3471,2023-01-09,C871,Wall Art,Home,137.09,4,0.05,Gift Card,0.00
1733,2023-01-10,C589,Table Lamp,Home,287.20,2,0.0,Gift Card,5.00
2995,2023-01-10,C495,Rice,Groceries,14.52,2,0.0,Credit Card,13.59
1183,2023-01-10,C458,Socks (3-Pack),Apparel,114.85,1,0.0,Debit Card,5.00
2699,2023-01-10,C713,Cotton T-Shirt,Apparel,37.88,3,0.0,Credit Card,0.00
2883,2023-01-10,C333,Socks (3-Pack),Apparel,66.82,2,0.0,Credit Card,0.00
2440,2023-01-11,C532,Gaming Monitor,Electronics,138.76,3,0.05,Debit Card,10.00
3045,2023-01-11,C261,Smart Watch,Electronics,67.34,3,0.2,Gift Card,0.00
2713,2023-01-11,C286,Throw Pillow,Home,101.43,5,0.0,Gift Card,0.00
1224,2023-01-11,C910,Mug,Home,196.70,5,0.05,Gift Card,10.00
1745,2023-01-11,C831,External Hard Drive,Electronics,115.92,1,0.1,Credit Card,0.00
1678,2023-01-11,C815,Mechanical Keyboard,Electronics,365.29,3,0.0,PayPal,5.00
2040,2023-01-11,C775,Cotton T-Shirt,Apparel,102.46,1,0.0,Credit Card,10.00
2293,2023-01-12,C836,Smart Watch,Electronics,474.20,1,0.0,Debit Card,10.00
3382,2023-01-12,C360,Cotton T-Shirt,Apparel,83.26,3,0.1,Credit Card,0.00
1483,2023-01-13,C834,Running Shoes,Apparel,97.81,3,0.0,Debit Card,0.00
1590,2023-01-13,C486,Rice,Groceries,9.06,1,0.05,Debit Card,13.88
1002,2023-01-13,C589,Sweater,Apparel,143.94,4,0.0,PayPal,0.00
1463,2023-01-13,C161,Smart Watch,Electronics,97.19,1,0.15,Gift Card,5.14
2373,2023-01-13,C288,Wireless Mouse,Electronics,201.73,2,0.0,Gift Card,0.00
2602,2023-01-14,C658,Foam Roller,Fitness,136.95,5,0.0,Credit Card,0.00
1767,2023-01-14,C525,Tea Bags,Groceries,13.37,3,0.05,Gift Card,13.62
2965,2023-01-14,C730,External Hard Drive,Electronics,305.66,2,,PayPal,5.00
3481,2023-01-14,C317,Dress Shirt,Apparel,18.51,1,0.0,Credit Card,9.49
3186,2023-01-14,C512,Shorts,Apparel,25.57,1,,Credit Card,4.46
1020,2023-01-14,C720,Hat,Apparel,137.79,5,0.1,Debit Card,0.00
3235,2023-01-14,C208,Yoga Mat,Fitness,44.59,3,0.05,PayPal,5.00
2034,2023-01-14,C932,Winter Jacket,Apparel,72.10,3,0.1,PayPal,5.00
1712,2023-01-14,C751,Wireless Mouse,Electronics,383.91,5,0.05,Debit Card,0.00
1707,2023-01-14,C175,Hat,Apparel,26.13,3,0.05,PayPal,3.53
2465,2023-01-14,C739,Throw Pillow,Home,137.49,2,0.05,PayPal,10.00
2231,2023-01-15,C688,Rice,Groceries,7.12,2,0.0,Credit Card,9.40
1498,2023-01-15,C265,Mug,Home,227.98,1,0.0,Debit Card,5.00
2976,2023-01-15,C378,Sneakers,Apparel,48.61,2,,PayPal,5.75
2607,2023-01-15,C140,Desk Lamp,Home,130.92,2,0.15,Gift Card,0.00
1830,2023-01-15,C627,Wall Art,Home,213.90,4,,Debit Card,10.00
